Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	
FAM227A	0.0877561	-1.40026	0.0069001	1.83347			
FAM24B	0.270966	1.13297	0.00599036	1.43433			
FAM25A	0.682467	-1.0443	0.116801	1.20398			
FAM26E	0.865407	1.0288	0.670283	1.08138			
FAM27A	0.0275427	1.35268	0.0669626	1.31199			
FAM27B	0.0155359	1.40888	0.0253894	1.41106			
FAM27C	0.0190737	1.38893	0.076262	1.30564			
FAM27E3	0.3583	1.17939	0.196583	1.29159			
FAM3B	0.471193	-1.07995	0.179047	1.17217			
FAM3C	0.0960658	1.29431	0.000927895	-1.82986			
FAM40B	0.0142852	1.88374	0.37032	-1.2745			
FAM46A	0.890664	1.01304	2.66707e-005	1.66021			
FAM49A	2.14464e-011	10.2433	0.000677122	-2.54804			
FAM50A	0.00317053	1.38677	1.61017e-005	1.77327			
FAM54A	0.196858	1.28825	0.00817196	1.81389			
FAM58A	0.0045502	1.26042	0.00528976	-1.28225			
FAM63B	0.465762	1.16614	0.00486803	-1.99943			
FAM65A	0.0844683	1.14485	0.00386187	-1.29699			
FAM65B	0.131971	-1.66998	0.00513451	-2.98997			
FAM69A	0.131609	-1.29204	1.35947e-006	-2.9686			
FAM71B	0.600763	-1.05048	0.412479	-1.08847			
FAM72A	3.72077e-005	2.03688	1.08907e-005	2.33842			
FAM72B	6.8254e-006	2.05312	1.48754e-007	2.6842			
FAM72C	0.000127548	2.31949	3.42154e-005	2.77281			
FAM73A	0.0128386	1.4309	2.46224e-008	-3.03197			
FAM76A	0.046459	1.23166	0.746085	1.03657			
FAM76B	0.525044	1.10664	4.01956e-006	2.63928			
FAM78B	0.260443	-1.0774	0.175981	-1.10371			
FAM83D	0.000873241	1.70983	0.121005	1.28877			
FAM83F	0.514567	-1.07559	0.827824	-1.02691			
FAM86C1	0.00134162	1.36896	0.000404876	1.47269			
FAM91A2	0.369858	-1.10725	0.531813	-1.08063			
FAM92A1	3.54173e-006	1.42413	0.68931	1.02797			
FAM96B	0.556919	-1.06242	0.000238161	-1.59308			
FANCC	0.316817	-1.11159	7.18063e-008	2.23846			
FANCI	0.246435	1.19311	6.72919e-012	5.89453			
FANCL	0.351916	1.17798	0.501244	-1.1379			
FANCM	0.27561	1.22542	0.96536	1.00882			
FAP	0.967695	1.01022	0.397449	1.26373			
FAR1	0.74095	-1.07801	0.0218143	-1.81604			
FAR2	0.0230579	1.739	0.000734309	-2.58986			
FARSB	3.44217e-006	1.93138	0.746568	1.04229			
FAS	0.00110768	-1.73229	0.138556	1.28899			
FASTKD1	2.38246e-005	1.84745	0.00752595	-1.47114			
FASTKD2	0.0788476	1.33091	0.0406858	-1.44509			
FASTKD3	0.0156923	1.34942	0.797433	-1.03375			
FAT2	0.865446	-1.02486	0.877582	-1.02476			
FBLN1	0.00277445	-1.3549	0.602704	-1.05516			
FBN1	0.512911	1.22758	0.377949	1.35469			
FBXL13	5.05646e-006	1.54277	0.275632	1.09986			
FBXL19-AS1	0.951796	1.01003	0.652133	1.08511			
FBXL22	0.861958	-1.01911	0.911576	1.01333			
FBXL4	2.05108e-005	1.9224	0.318515	-1.15483			
FBXL5	0.44358	-1.11902	0.0265724	-1.44783			
FBXL7	2.17567e-008	-2.15105	0.0470969	1.25972			
FBXO17	0.00214321	1.42306	0.0168045	1.33826			
FBXO18	0.31389	1.14714	0.0486261	-1.35225			
FBXO3	0.0670903	-1.32235	0.00174379	-1.73973			
FBXO32	0.446039	1.34486	0.29969	1.55828			
FBXO33	0.610125	1.09513	3.3941e-009	-4.91085			
FBXO38	0.568278	1.09502	0.941321	-1.01287			
FBXO39	0.0194999	-1.48134	0.0544008	1.41785			
FBXO45	0.0398048	1.21725	0.000289617	-1.50811			
FBXO48	0.315452	1.15453	0.15977	-1.2489			
FBXO5	0.861906	-1.03447	8.90494e-007	3.68256			
FBXO8	0.06917	-1.33217	0.216741	-1.23408			
FBXO9	0.125956	1.19473	0.00585557	-1.44392			
FCER2	0.851891	-1.01893	0.287504	1.12537			
FCF1	0.279075	1.20498	0.0254209	-1.54627			
FCHO2	0.0549721	1.40574	0.805428	-1.04752			
FCN2	0.541443	-1.07939	0.444813	1.11061			
FCRL5	0.870827	-1.01459	0.238817	1.12327			
FDFT1	0.507837	1.11397	1.75737e-005	-2.45879			
FDX1	0.857753	1.01781	0.0188757	-1.30415			
FDX1L	0.690899	-1.0387	0.783524	-1.02913			
FEM1B	0.370825	-1.0824	5.81504e-006	-1.68922			
FEN1	0.567836	1.10395	0.000544627	2.06657			
FERMT1	0.96694	-1.01642	6.92659e-006	10.1474			
FEZF1	0.839192	-1.09856	0.650949	1.25849			
FEZF1-AS1	0.741567	-1.13164	0.144354	1.84054			
FGB	0.790439	-1.0177	0.835779	1.0151			
FGD6	0.0828886	1.3001	9.90647e-005	-2.052			
FGF2	0.00629491	1.26026	1.61287e-005	-1.55653			
FGFR2	0.672644	1.08182	0.0515901	-1.50579			
FGL2	0.833596	-1.10385	0.174964	-2.03312			
FHDC1	0.000222432	1.87248	0.287117	-1.19421			
FHL3	0.341627	1.1126	0.0379956	1.30027			
FIGN	0.277423	-1.26703	2.95928e-005	3.16446			
FIGNL1	0.00274422	1.54621	0.110088	1.2723			
FILIP1L	0.0418692	-1.20957	0.00444187	1.35208			
FIP1L1	0.247084	1.20931	0.739868	-1.06088			
FKBP14	0.023496	1.79871	0.912971	1.03014			
FKBP15	0.262751	-1.09252	8.62922e-008	1.81365			
FKBP5	0.0385432	1.58334	0.00344725	2.09324			
FKBP6	0.812326	-1.02576	0.375921	1.1102			
FKBP7	8.35881e-009	2.16091	0.0437312	1.25266			
FKBP9	0.00532024	1.653	0.00813944	1.68078			
FKBP9L	0.000173127	1.6776	0.00218469	1.55766			
FLG-AS1	0.00490394	-1.27978	7.83493e-009	-2.02197			
FLJ21408	0.65554	-1.04365	0.0715046	1.21417			
FLJ33581	0.880724	-1.00966	0.0401623	1.161			
FLJ33630	0.374829	-1.11979	0.715911	-1.05184			
FLJ35024	0.374134	-1.04865	0.00525341	-1.18961			
FLJ35282	0.79809	1.11785	8.95354e-005	8.48287			
FLJ35390	0.291551	-1.08574	0.981181	1.002			
FLJ37201	0.0728889	1.156	0.208855	1.11597			
FLJ37644	0.00647664	1.25106	3.44798e-006	1.60958			
FLJ39653	0.978601	1.00332	0.867576	1.02282			
FLJ39739	0.621204	-1.05264	0.0077943	1.37848			
FLJ44635	0.0313404	-1.64398	0.258948	-1.31976			
FLJ44838	0.940761	1.01721	0.644679	-1.12325			
FLJ45340	0.658395	1.0406	2.12951e-010	2.49161			
FLJ45832	0.83747	1.04314	0.561358	1.14033			
FLJ46020	0.826585	-1.01918	0.0389359	1.2255			
FLRT2	2.22205e-006	-2.12475	1.51787e-007	-2.61874			
FLVCR1-AS1	0.37349	1.11651	0.429638	-1.11292			
FMN1	0.372022	1.28852	3.57873e-005	-4.41704			
FMNL2	0.00579927	1.76091	0.0294077	-1.61156			
FMO4	0.806035	1.05479	0.762048	1.07473			
FMOD	0.562625	-1.15677	0.000137597	3.28812			
FMR1	0.00264716	1.62553	0.00761672	-1.5913			
FNBP1	0.000571636	-1.30756	0.000111052	-1.40344			
FNBP1L	4.03062e-005	-4.03663	0.25913	1.44177			
FNDC7	0.393357	1.17741	0.024433	1.63157			
FNDC9	0.400392	1.0753	1.25382e-006	-1.75583			
FOCAD	0.99046	-1.00214	2.97858e-006	-3.04346			
FOLH1	0.0170025	2.10747	3.68983e-006	-6.21354			
FOLH1B	0.0146768	2.15972	6.49259e-006	-5.90507			
FOLR3	0.0942797	-1.12726	0.312819	1.08108			
FOPNL	0.259568	1.20571	0.0545109	-1.42879			
FOSL1	0.494668	-1.10315	0.235505	1.20721			
FOSL2	0.364801	1.11903	0.370587	1.12941			
FOXC1	6.22615e-006	1.49762	0.84454	-1.01613			
FOXD1	0.200482	1.1088	0.0964393	1.15989			
FOXD4	0.202066	1.19111	0.0652598	1.32455			
FOXD4L1	0.210381	1.22092	0.0634375	1.38997			
FOXD4L3	0.120266	1.26367	0.0131408	1.52598			
FOXD4L6	0.101945	1.24959	0.00801049	1.5083			
FOXF1	0.779771	1.04256	0.533587	1.1073			
FOXF1-AS1	0.67084	-1.04066	0.0269896	-1.26688			
FOXF2	0.973171	-1.0091	0.629201	-1.15348			
FOXG1	8.36148e-010	12.447	0.0283829	-2.06154			
FOXJ2	0.623206	-1.04154	0.333986	1.09219			
FOXN1	0.872212	-1.01514	0.134648	1.16881			
FOXN2	0.0131486	1.55391	0.144989	-1.31533			
FOXP1-IT1	0.633175	1.08918	0.0132518	-1.66695			
FOXP3	0.5473	-1.05405	0.228999	1.12338			
FOXRED1	0.998353	-1.0003	0.0112853	1.52207			
FOXRED2	0.595892	-1.06756	0.0216361	-1.38226			
FRAS1	0.800296	-1.0889	0.153564	-1.7078			
FREM3	0.609547	-1.05091	0.000181607	-1.5681			
FRMD3	0.43152	1.14897	0.838129	-1.0401			
FRMD6	0.0258266	1.73496	0.592466	-1.14941			
FRMPD1	0.841986	-1.06223	0.341656	-1.37404			
FRMPD4-AS1	0.491804	-1.06822	0.831548	-1.02254			
FRRS1	0.0413607	-1.54937	0.00628625	1.93727			
FRYL	0.27504	-1.33863	0.713024	-1.11259			
FSCN1	0.0270893	1.27722	0.365252	-1.11186			
FST	0.0233872	-3.02531	0.497582	1.41701			
FSTL1	0.574294	-1.14579	0.0748979	1.62316			
FTSJ1	1.11615e-010	1.72696	0.0054029	1.2051			
FTSJ2	1.40947e-005	1.42568	0.00896287	1.23331			
FTSJD2	0.8018	-1.03913	0.458221	1.13288			
FTX	0.0278501	1.25072	2.36636e-006	1.85169			
FUCA2	0.126049	1.32922	0.240662	1.26762			
FUNDC1	1.93695e-006	1.57492	1.31231e-008	-1.92067			
FUNDC2	2.78664e-006	1.71064	0.00452994	-1.3685			
FURIN	0.461452	1.04664	0.000592189	-1.29305			
FXYD1	0.79438	1.03273	0.012813	-1.42633			
FXYD5	0.0282763	2.37139	0.517418	1.30844			
FZD1	0.0605523	-1.18005	0.980402	1.00231			
FZD8	0.838217	-1.02657	0.17694	-1.21269			
G0S2	0.419329	1.16381	0.0356272	1.56288			
G3BP1	0.074211	1.26516	0.34006	1.14457			
G3BP2	0.000752378	1.25688	1.0177e-011	-2.03705			
G6PD	0.326055	1.15651	0.399254	-1.14617			
GAB3	0.430349	1.3047	0.789933	1.10293			
GABBR2	9.85783e-005	-6.02551	6.34099e-008	-22.7241			
GABPA	0.929487	1.00981	0.343659	1.12221			
GABRG2	0.654986	1.0451	1.05449e-025	-40.2147			
GABRG3	0.131096	-1.22094	0.0930932	1.2768			
GABRR1	0.650962	1.06889	0.371392	1.15594			
GADD45B	0.89336	1.0354	0.571588	1.17494			
GADL1	0.969817	-1.01156	0.819207	1.07909			
GAGE10	0.798266	-1.03296	0.132447	1.23748			
GAGE12C	0.984281	1.00247	0.230498	1.1814			
GAGE12J	0.851644	-1.01868	0.122006	1.18653			
GAGE2B	0.789819	-1.03686	0.257856	1.18536			
GAGE8	0.895594	1.01577	0.263761	1.15889			
GALK1	0.910851	-1.01262	0.171525	1.18577			
GALM	0.144779	1.12763	0.0222798	1.23593			
GALNT10	0.0104818	-1.7608	0.410466	1.2086			
GALNT11	0.0131662	1.32397	0.00875137	-1.38701			
GALNT12	0.899624	-1.01597	0.270102	1.16569			
GALNT5	0.862328	-1.06775	0.219444	1.67349			
GALNT7	0.102464	1.48749	0.929681	1.02325			
GALNTL4	0.000339822	1.44454	0.000624565	-1.46336			
GALT	0.388816	1.07773	0.0109861	1.28948			
GANAB	0.75028	-1.03618	0.102446	1.22649			
GANC	0.316299	-1.20247	0.000476248	2.17446			
GAR1	0.000754974	1.28237	1.53331e-005	1.45355			
GARS	2.52052e-005	2.07622	0.629124	1.08171			
GAS1	0.573176	1.09709	0.761773	1.05603			
GAS2L3	0.0556176	-1.47411	1.64396e-008	5.09849			
GAS7	0.000188236	3.24209	0.0829093	-1.72139			
GATA1	0.707032	-1.04205	0.341795	1.12172			
GATAD1	7.43967e-008	1.5033	3.3972e-011	1.89686			
GBA	0.14125	-1.18588	0.269026	1.14934			
GBA2	0.735439	-1.03314	0.134615	-1.1747			
GBAS	0.423275	1.17668	0.731569	1.07898			
GBE1	0.26275	-1.2269	1.80373e-006	3.18843			
GBP1	0.168073	-2.30845	0.192349	2.37558			
GBP1P1	0.507293	-1.31884	0.273904	1.65447			
GBP2	0.651512	-1.22154	0.0303224	2.98135			
GBP3	0.29351	-1.59182	0.915029	-1.05258			
GBP4	0.982263	-1.01012	0.460905	-1.4443			
GBP5	0.881644	-1.0304	0.0648417	1.52007			
GBP7	0.929815	-1.00696	0.170848	1.12757			
GCAT	0.0222203	1.14283	0.214289	-1.07999			
GCFC2	0.000149931	1.70713	0.000228997	1.75996			
GCG	0.867424	-1.01256	0.61307	1.04238			
GCH1	0.00805238	1.42824	0.0542781	-1.31723			
GCLM	0.015484	1.46402	0.918076	-1.01702			
GCNT1	0.854262	-1.01221	0.828109	1.01584			
GCNT2	0.0482992	-1.46536	0.69316	1.08437			
GCNT4	0.212401	-1.38289	1.90882e-005	-4.10923			
GCOM1	0.687502	-1.02354	0.121741	1.1051			
GCOM2	0.252489	-1.17809	0.000131499	-1.96336			
GDF3	0.780148	-1.08191	0.772696	1.09335			
GDF5OS	0.617156	1.04632	0.0819726	1.19331			
GDPD5	0.618469	-1.03822	0.890407	1.01141			
GEM	0.0477539	-1.27849	2.08482e-007	2.39123			
GEMIN8P4	0.504372	1.09051	0.722859	1.05157			
GEN1	0.656445	1.16741	0.00441252	3.19655			
GFI1	0.967304	1.00465	0.371355	1.11799			
GFM1	0.0705278	1.1967	0.00123379	-1.45387			
GFM2	0.223302	1.26656	0.00946947	-1.7809			
GFOD1	7.0143e-005	1.64925	4.51868e-009	-2.62847			
GFPT1	1.07998e-005	1.82459	0.180591	1.18683			
GFPT2	1.01633e-005	2.05959	3.66457e-007	2.63527			
GGCT	3.65645e-006	1.87289	0.0170508	1.3593			
GGCX	0.332583	-1.09666	0.392492	1.09313			
GGH	0.000387674	1.54509	0.0880331	1.23416			
GGNBP2	0.57443	1.0773	0.404793	-1.12907			
GGT5	0.356009	-1.04923	0.778143	-1.01609			
GGTA1P	0.796106	-1.02753	0.520714	1.07697			
GHDC	0.820418	-1.00937	8.84071e-005	1.2238			
GHITM	0.299058	1.17249	3.53762e-008	-3.35713			
GHR	0.116513	1.29813	0.392046	-1.166			
GIMAP2	0.0158683	1.49568	0.0337228	1.46793			
GIN1	0.976037	-1.00502	6.84324e-005	-2.30892			
GINS2	0.86025	1.03121	0.00026628	2.18856			
GINS3	0.820768	-1.016	0.620572	1.03879			
GINS4	0.803745	1.03168	4.89322e-006	2.13106			
GJA1	0.772555	1.09343	0.115371	-1.72281			
GJA5	0.79918	-1.0215	0.733993	-1.03163			
GK	9.49674e-005	2.00779	0.852408	-1.03235			
GLA	1.02765e-006	2.5969	0.0205486	1.51963			
GLCCI1	0.0348809	1.88003	0.00448139	2.61594			
GLDN	0.821081	-1.0714	0.140495	-1.65095			
GLE1	0.132459	1.07823	4.72921e-008	1.47096			
GLI3	0.469619	1.14566	0.0094013	1.75857			
GLIPR1	0.395901	-1.42811	0.734499	-1.16783			
GLIS3	0.413263	1.08558	7.17688e-006	1.79905			
GLIS3-AS1	0.417233	-1.08214	0.617008	-1.05456			
GLMN	0.763236	1.0485	0.267661	-1.21261			
GLRA1	0.91658	1.0089	0.0912808	-1.17399			
GLRA2	0.625055	-1.09416	3.0584e-007	-3.69499			
GLRX	0.573826	-1.1046	0.478448	-1.14747			
GLRX3	0.851034	1.03588	0.110816	-1.39781			
GLS	1.66007e-005	2.74337	3.50849e-007	-4.06657			
GLT25D1	0.000825016	1.87639	0.148934	1.31618			
GLT25D2	0.0130219	1.84945	0.102804	-1.53619			
GLT8D1	0.394038	1.0947	0.553807	1.07104			
GLT8D2	0.397284	1.07267	0.0261057	-1.23297			
GLYR1	0.52402	-1.03944	0.00238812	-1.24367			
GMCL1	4.68079e-005	1.93106	0.0215921	-1.44436			
GMDS	4.02139e-007	1.61121	0.115792	-1.14026			
GMFB	0.293696	-1.2804	9.38673e-005	-3.13088			
GMPPA	0.193085	-1.09361	0.000140217	1.37866			
GMPR	0.0203986	-1.93723	0.657926	1.14145			
GNA11	0.870831	-1.01591	0.000201524	-1.5622			
GNA12	0.990676	-1.00064	6.43301e-005	1.31834			
GNA13	0.340185	-1.13077	0.600021	1.0764			
GNAI3	0.881812	1.02338	0.199711	1.2478			
GNAS-AS1	0.744571	1.11877	0.608225	1.21371			
GNAT1	0.477996	-1.07939	0.416467	1.10073			
GNAZ	0.0606426	1.12851	9.60167e-008	-1.6057			
GNB4	0.00135499	1.50941	0.019585	1.37013			
GNG11	0.962965	1.01687	0.332698	-1.47022			
GNG12	0.0891575	1.40405	0.177766	1.33915			
GNG5	0.765778	1.03075	3.94304e-009	2.46653			
GNG5P2	0.237896	1.14407	1.71435e-006	2.06584			
GNPDA1	0.00296043	1.16575	0.0434388	-1.11573			
GNPDA2	0.64274	-1.08201	0.0278917	-1.53082			
GNPNAT1	0.00957163	1.38445	0.00153176	-1.56646			
GNRH1	0.0183431	1.36208	9.95838e-005	1.83756			
GOLGA4	0.59085	-1.07046	0.00319923	1.55248			
GOLGA5	0.529393	1.15308	0.0665184	-1.59507			
GOLGA6L5	0.785265	-1.0422	4.5314e-007	2.87155			
GOLGA8IP	0.953582	-1.01098	0.000101885	2.48987			
GOLGA8J	0.938666	1.01476	0.000234098	2.37348			
GOLIM4	0.209662	1.33987	0.00487338	2.13822			
GOLPH3	0.535546	-1.04175	0.00485082	-1.24288			
GOLT1B	0.133182	1.18586	0.000202161	-1.66824			
GORAB	0.296577	1.12007	9.30423e-008	2.26237			
GOSR1	0.877529	-1.0239	0.71634	1.06297			
GOSR2	0.325768	1.0899	0.000221296	1.48619			
GOT1	0.382055	1.13906	1.20513e-012	-6.49118			
GOT1L1	0.922633	1.00934	0.334241	1.10748			
GP2	0.627156	-1.04512	0.0530058	1.21951			
GPATCH1	0.00876521	1.36755	0.861127	1.02181			
GPC4	0.0165506	-2.4488	0.434238	-1.35838			
GPD2	0.00477505	1.74812	0.0920583	-1.41813			
GPER	0.658778	-1.04899	0.762256	-1.03651			
GPR1	0.792111	-1.03947	0.64508	1.07703			
GPR107	0.13079	-1.17692	0.955242	1.00652			
GPR115	0.714585	-1.04212	0.274489	1.14598			
GPR128	0.244995	-1.29229	0.874272	1.03853			
GPR135	0.0110012	2.5489	0.548627	1.25786			
GPR139	6.60816e-008	1.82819	0.126789	1.1572			
GPR142	0.615294	-1.03928	0.0326522	1.2046			
GPR151	0.447081	1.05949	0.384188	1.07526			
GPR156	0.000260088	1.55235	1.66854e-007	2.19824			
GPR176	3.84165e-008	1.64316	0.00026563	-1.35993			
GPR180	0.107967	1.36131	2.48473e-005	-2.75937			
GPR20	0.725675	-1.03707	0.332657	1.11724			
GPR61	0.580288	-1.06833	0.0706274	-1.27481			
GPR62	0.502035	-1.06813	0.717751	-1.03953			
GPR89A	0.243901	1.2718	0.835255	1.04758			
GPSM2	0.0832566	1.36846	0.448492	1.15868			
GPSM3	0.437565	-1.07663	0.11406	1.18212			
GPX7	0.000671963	1.50004	0.00215855	1.48144			
GRAMD4	0.0815483	1.09744	0.954762	1.00324			
GRB10	0.0987238	1.52003	0.954795	-1.01551			
GRB2	0.938693	1.00574	2.70892e-006	-1.59378			
GRIK1	0.0109148	2.86175	0.203925	-1.73535			
GRIK1-AS2	0.121954	1.36121	0.953389	1.01259			
GRIK3	8.99159e-007	4.41928	0.000553089	2.77796			
GRIN3A	0.601636	-1.04419	2.91269e-010	-2.28866			
GRK5	0.0562951	1.22444	0.0215053	-1.31126			
GRK6	0.0345385	1.23756	0.28497	1.12163			
GRM1	0.0233846	-1.25694	1.61051e-007	-2.03605			
GRP	0.931083	1.01017	0.756487	-1.04059			
GRPEL1	5.30945e-006	1.63494	0.0640303	-1.20619			
GRPR	0.326678	1.15393	0.705644	-1.06182			
GRSF1	0.126082	1.19217	4.94476e-005	-1.78458			
GRXCR1	0.383489	-1.07225	0.389234	1.07841			
GSTA1	0.757391	-1.02923	0.826885	1.02259			
GSTCD	0.506143	-1.13769	0.0307699	1.60968			
GSTK1	0.226989	1.10959	0.000349228	1.45126			
GSTM1	0.0621761	-1.21796	1.19248e-008	2.37365			
GSTM2P1	0.791251	-1.02428	0.000249404	1.50493			
GSTM3	7.71726e-008	1.82387	1.70122e-007	-1.87979			
GSTM4	0.106844	-1.23257	0.0119096	1.4462			
GSTT2	0.00231059	-1.7812	0.422238	1.1671			
GSTZ1	0.666605	1.03296	0.611273	1.04283			
GTF2A1	0.452866	-1.19726	0.00608457	-2.14984			
GTF2A2	0.877629	-1.01812	0.66311	-1.0573			
GTF2B	0.239389	1.15594	0.0128449	-1.41895			
GTF2H1	0.0390398	1.34326	0.402446	-1.13566			
GTF2H2D	0.00727996	1.48174	0.324799	-1.16154			
GTF2H3	0.257012	1.22612	0.535272	1.12887			
GTF2H4	0.966869	1.00131	4.13139e-008	1.28367			
GTF2I	0.00189242	1.4218	0.3329	1.11783			
GTPBP10	0.000820679	1.43244	0.060551	-1.22928			
GTPBP2	0.224342	-1.09123	1.55205e-009	1.93243			
GTSE1	0.480158	-1.08931	0.0120554	1.41944			
GULP1	0.0406897	-1.85178	0.35897	-1.34174			
GUSB	0.060729	1.12835	4.96587e-010	1.84259			
GXYLT2	5.03217e-006	2.65355	0.914765	1.02104			
H1F0	0.00274627	-1.61153	0.446289	1.13157			
H2AFZ	0.0204498	1.26427	0.00575343	1.36633			
HAGH	0.458242	1.08054	0.079745	-1.22728			
HAP1	0.127933	-1.28328	0.0182331	1.54621			
HARBI1	0.234114	-1.13748	0.294936	1.13188			
HAT1	0.0284425	1.27867	0.37068	1.11216			
HAUS8	0.00223039	1.36573	7.52733e-007	1.88755			
HBEGF	0.577091	1.16517	0.380244	1.30281			
HBP1	0.0624383	1.26704	0.223893	1.18103			
HBS1L	0.256634	1.1962	0.0168439	-1.53658			
HCCS	0.00502822	1.55713	0.00138738	-1.7587			
HCFC1R1	0.0225679	-1.20432	0.822424	-1.01936			
HCFC2	0.0029151	-1.67953	0.0109935	-1.60822			
HCG15	0.463597	1.1743	0.00186257	2.24551			
HCG25	0.00286461	-1.09315	2.69173e-013	1.4494			
HCG26	0.949371	1.01301	0.482321	1.17033			
HCG4B	0.949758	-1.01127	8.07384e-005	2.41367			
HCN2	0.711554	-1.03827	1.99984e-013	-3.9654			
HCN4	0.160071	-1.16291	0.00170109	-1.48522			
HCP5	0.441049	-1.3915	0.844356	-1.09614			
HCRT	0.279412	-1.09892	0.0862299	1.18104			
HDAC1	0.00352258	1.7022	0.00658273	1.71123			
HDAC9	0.200011	-1.27117	0.536709	1.13356			
HDX	0.492288	-1.11322	0.103647	-1.328			
HEATR5B	0.125127	1.26321	0.0246468	-1.46789			
HECA	0.00116603	1.39023	5.6446e-005	-1.60205			
HECTD1	0.575207	1.14848	0.0014694	-2.55312			
HECTD3	0.218291	-1.12061	0.306139	1.10881			
HECW1	0.95847	-1.00471	1.90225e-017	-5.69142			
HECW1-IT1	0.335245	1.15215	0.00615713	-1.59498			
HELLS	0.00566601	1.49694	1.26726e-012	5.59419			
HELQ	0.635556	1.07951	0.539458	1.11477			
HERC3	0.145883	1.34554	0.00132911	-2.16151			
HERC5	0.921088	-1.04847	0.135787	2.21556			
HERC6	0.7251	-1.23492	0.301957	-1.98171			
HERPUD1	0.971845	1.00859	0.0826658	-1.6046			
HEXB	0.824888	-1.0417	0.642068	1.09873			
HEY1	3.55794e-009	3.63016	0.00784745	1.63157			
HFE	0.000171547	-1.45709	0.00689926	1.32171			
HGD	0.894909	-1.03229	0.73131	1.0948			
HGSNAT	0.811787	1.03485	0.360587	1.15607			
HHIP	0.00668766	-3.01913	0.00331154	-3.76504			
HHLA1	0.552116	-1.03815	0.0210772	1.18063			
HIAT1	0.409642	1.17313	0.00662901	-1.84083			
HIATL1	0.974149	1.00333	0.552505	-1.06915			
HIBADH	1.31931e-005	2.31845	0.309622	-1.20086			
HIC1	0.919751	1.0117	0.310351	1.13823			
HIF1A-AS2	0.57996	1.16372	0.0363059	1.91668			
HILPDA	0.000345156	2.17339	7.98834e-005	2.6147			
HINFP	0.676035	1.04737	0.0153918	1.36164			
HIP1	0.323973	-1.15371	0.0507717	1.37416			
HIPK3	0.828717	-1.04658	0.137778	-1.41683			
HIST1H1C	0.625964	1.08298	7.38411e-006	2.60826			
HIST1H1D	0.278639	-1.31375	0.0190858	1.95664			
HIST1H2AC	0.0146894	-1.83039	0.34548	1.27778			
HIST1H2BC	0.603146	-1.06492	0.0649898	1.28556			
HIST1H2BD	0.00807879	-1.38587	0.000188195	1.7095			
HIST1H2BE	0.408833	-1.14703	0.00069423	1.97048			
HIST1H2BI	0.936004	-1.0187	3.6618e-007	5.07555			
HIST1H2BJ	0.700049	-1.06618	1.10004e-006	2.99854			
HIST1H2BK	0.000370541	-1.71829	3.05556e-014	7.3064			
HIST1H2BO	0.778757	1.05093	3.84697e-009	4.81634			
HIST1H3D	0.973741	1.00474	9.97676e-007	2.59986			
HIST1H3F	0.649121	-1.14757	4.05827e-010	19.7074			
HIST1H3H	0.00167736	-2.29337	1.32771e-005	3.93316			
HIST1H4H	3.04775e-006	-1.94608	9.31326e-009	2.71955			
HIST1H4L	0.403877	-1.40303	0.00693898	3.56119			
HIST2H2AA4	0.235736	1.15557	2.20359e-015	7.00589			
HIST2H2BA	0.114633	-1.40556	0.0151561	1.80621			
HIST2H2BF	0.0475294	-1.38898	0.0256027	1.50558			
HIST2H4B	0.100913	-1.44531	0.00191557	2.24996			
HIVEP2	0.762786	1.08468	0.00073035	-3.00374			
HIVEP3	0.305422	-1.4725	0.628841	-1.21962			
HJURP	0.334326	1.28195	0.000336397	3.07086			
HK1	0.433831	1.12266	2.44032e-006	-2.52619			
HKDC1	0.540407	1.05514	0.0516204	1.21224			
HLA-A	0.00953739	-1.68557	0.12468	1.38571			
HLA-B	0.00129788	-3.43056	0.565702	1.24736			
HLA-C	0.000947358	-2.94297	0.457543	1.27475			
HLA-DOA	0.755713	-1.02276	0.0416744	1.18186			
HLA-DOB	0.29829	1.17225	0.00222394	1.73345			
HLA-DPA1	0.667989	-1.07042	0.960632	-1.0086			
HLA-DQA1	0.875074	1.00798	0.00261227	1.19764			
HLA-DRA	0.165325	-1.83252	0.783702	1.13795			
HLA-DRB1	0.0361566	-1.35507	0.577224	1.08928			
HLA-DRB4	0.542041	-1.06894	0.916257	1.01263			
HLA-DRB5	0.86766	-1.05628	0.652269	-1.17639			
HLA-DRB6	0.140627	-1.29065	0.815081	1.04454			
HLA-E	0.0138319	-1.9748	0.511395	-1.20859			
HLA-F	0.0284689	-1.38871	0.269836	1.19207			
HLA-F-AS1	0.164897	-1.08323	4.62977e-008	1.56125			
HLA-G	0.00095791	-1.48292	0.115546	1.21049			
HLA-H	0.0235553	-1.817	0.272936	1.35829			
HLA-J	0.0130559	-1.44636	0.185418	1.23075			
HLA-L	0.00827787	-1.17015	0.00194584	1.22964			
HLCS	0.00539339	1.25374	0.26567	1.09819			
HLF	0.60632	-1.05872	2.67039e-015	-5.88262			
HLTF	0.00141468	1.78426	0.431085	1.15484			
HM13	5.48956e-007	1.59686	0.00152132	1.32626			
HM13-AS1	0.895887	-1.01746	0.581943	1.08326			
HMBS	0.41481	1.0826	0.00294806	1.40532			
HMGA2	0.67566	-1.11789	0.70957	1.11475			
