Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
PF4V1	0.552734	-1.03898	0.190001	-1.09806	0.379074	-1.06048	0.815796	1.01653	0.234989	1.08822	0.00196895	1.31411	
FDX1L	0.690899	-1.0387	0.395567	-1.0934	0.381998	-1.09053	0.525239	-1.06886	0.783524	-1.02913	0.396685	-1.10834	
PIGT	0.693896	-1.03869	0.00346507	1.39392	0.115838	1.17324	0.00348265	1.39363	0.369086	1.10013	0.000415238	1.6155	
CRHR1	0.646848	-1.03868	0.352002	-1.08864	0.757613	-1.02673	0.0208848	-1.24489	0.600321	-1.04872	0.12239	1.17926	
COPZ2	0.742354	-1.03867	2.01573e-005	1.88283	0.00043797	1.59444	0.0488094	1.29339	0.30634	1.13925	0.117915	-1.2622	
MEG8	0.840078	-1.03864	0.000130199	2.44821	0.0153195	-1.64004	0.0438963	-1.53609	0.0109056	-1.73987	1.01672e-007	-5.14178	
LOC100506100	0.857069	-1.03858	0.000970405	2.30453	0.00759482	1.85165	0.495224	1.17072	0.0901061	1.49154	0.19567	1.41747	
RNU5A-8P	0.872403	-1.03856	0.153908	1.45399	0.444765	1.20541	0.185005	-1.41503	0.216514	1.38131	0.0649052	-1.76153	
TMC1	0.754024	-1.03854	0.0444291	1.31629	0.289936	1.1423	0.00270044	1.53474	0.141006	1.21902	0.103203	1.28944	
CCDC64	0.669609	-1.03845	0.375026	-1.0902	0.509766	-1.06218	0.141323	-1.15591	0.360514	-1.09314	0.518377	1.07506	
LMOD2	0.710833	-1.03844	0.447196	-1.08876	0.343744	-1.10533	0.745421	1.03684	0.112862	1.19762	0.0308183	1.33498	
ALG9-IT1	0.763437	-1.03844	0.0065351	1.48834	0.623505	1.06569	0.00716369	1.48087	7.41611e-006	2.08626	0.0736117	1.33807	
HOXC9	0.871939	-1.0384	0.0277713	1.79907	0.0408505	1.66802	0.994115	1.00189	0.257159	1.34085	0.333341	1.33414	
TSC22D3	0.561224	-1.0383	0.18051	-1.10084	0.833277	1.01413	0.652803	-1.03235	0.140018	1.11206	0.862083	1.01428	
HCN2	0.711554	-1.03827	2.03775e-007	2.09137	0.0883196	1.20087	1.76411e-016	-6.05521	1.99984e-013	-3.9654	3.3855e-014	-5.5019	
ZNF321P	0.709199	-1.03826	2.19663e-005	1.73074	0.0711196	1.21256	0.0918311	1.20958	0.0284518	1.28596	0.409497	-1.1113	
GDPD5	0.618469	-1.03822	0.260622	-1.09813	0.449181	-1.0608	0.340555	-1.08228	0.890407	1.01141	0.0885281	1.18053	
HHLA1	0.552116	-1.03815	0.219894	-1.08922	0.410167	-1.05518	0.997561	-1.00021	0.0210772	1.18063	0.0341319	1.19105	
LDLR	0.80094	-1.03811	0.166292	1.25669	0.0696617	1.33064	0.613036	-1.08579	1.25146e-005	-2.31794	5.33848e-010	-5.30659	
RNF182	0.826753	-1.03802	0.00256808	1.83875	0.349386	1.18051	0.210958	-1.26703	0.494964	-1.13646	0.0145384	-1.74117	
SERPINE3	0.691377	-1.03788	0.405439	-1.08953	0.722072	-1.035	0.920983	-1.01022	0.159055	1.15807	0.033914	1.29799	
KIRREL3-AS3	0.755525	-1.03777	0.518875	-1.08802	0.805165	-1.03079	0.0649342	-1.28096	0.921577	-1.01291	0.822585	-1.03433	
MIR4719	0.426866	-1.03773	0.0701832	-1.0992	0.169324	-1.06917	0.0222736	-1.1291	0.255367	-1.06015	0.375655	-1.0537	
PDCD6IP	0.784481	-1.03738	0.10003	1.28045	0.130433	1.23807	0.0152953	1.45455	0.0385738	1.37051	0.00581509	1.64792	
ACE2	0.69092	-1.03735	0.367757	-1.09583	0.490081	-1.06815	0.528268	1.06593	0.564053	1.06011	0.768208	1.03496	
CHI3L2	0.747251	-1.03731	0.0199094	1.35451	0.0213169	1.32662	0.239187	1.15972	0.0953505	-1.23675	0.0755342	-1.29991	
SNORD114-18	0.852085	-1.0372	0.00960543	1.80141	0.212429	-1.29116	0.411315	-1.19394	0.162835	-1.35579	1.20887e-005	-3.61589	
GPR20	0.725675	-1.03707	0.400903	-1.10069	0.95311	-1.00631	0.843774	-1.02263	0.332657	1.11724	0.00728465	1.45398	
VAX1	0.744539	-1.03706	0.0639238	1.2626	5.71799e-006	1.87432	0.00131693	-1.53642	0.214386	-1.1662	0.900031	-1.01789	
TMPRSS4	0.644643	-1.03701	0.290848	-1.09623	0.560592	-1.04856	0.826912	1.01903	0.357773	1.08308	0.0534583	1.21941	
PSD2	0.577427	-1.037	0.196039	-1.09794	0.440625	-1.05344	2.69767e-010	1.92299	4.34735e-006	-1.48488	1.52401e-009	-2.00953	
TRAF3IP3	0.48918	-1.03698	0.122211	-1.09455	0.317617	-1.05593	0.000555354	1.24537	0.012456	1.16302	0.000277441	1.3099	
GAGE2B	0.789819	-1.03686	0.53786	-1.09624	0.538822	-1.09026	0.550732	1.09305	0.257856	1.18536	0.177884	1.26476	
DNASE1L2	0.732382	-1.03684	0.453207	-1.09118	0.573985	-1.06347	0.67117	-1.05046	0.502463	1.08106	0.211173	1.1846	
MIR521-1	0.774627	-1.03661	0.497381	-1.09816	0.774149	1.03791	0.468434	-1.10528	0.643804	1.06574	0.9627	1.00745	
TAS2R9	0.819955	-1.03641	0.00991392	1.59968	0.548898	1.10244	0.138703	1.29632	0.707209	1.06684	0.342902	-1.20908	
EIF4ENIF1	0.777328	-1.03636	0.0410645	1.33999	0.692111	1.05304	0.67777	-1.05921	0.0183965	-1.40751	1.77926e-005	-2.2403	
ARCN1	0.788903	-1.03626	5.02128e-006	2.22693	0.15553	1.21942	0.143752	-1.24211	0.378389	1.13783	0.0586902	-1.38784	
IL6	0.815288	-1.03624	0.567177	-1.10047	0.671749	1.06904	0.737034	-1.05768	0.212782	1.23448	0.00226835	1.89196	
TACR1	0.723784	-1.03618	0.00982228	1.35113	0.73903	-1.0352	0.0184916	-1.31243	0.0475726	-1.25291	0.0727372	-1.26413	
GANAB	0.75028	-1.03618	6.07591e-005	1.759	0.458693	1.08956	0.0760042	1.24949	0.102446	1.22649	0.876071	-1.02226	
CNGB1	0.66991	-1.0361	0.317347	-1.09611	0.551783	-1.05254	0.379339	-1.08385	0.579209	1.05189	0.0558392	1.23036	
TFIP11	0.698675	-1.03607	0.000233868	1.51426	0.0248915	1.24749	0.774959	1.02907	0.0414676	-1.23563	2.29737e-007	-2.14419	
C22orf34	0.734281	-1.03601	0.446254	-1.09123	0.640308	-1.05163	0.503043	1.0797	0.205569	1.15762	0.00974919	1.43414	
SPTBN4	0.656895	-1.0359	0.308938	-1.09321	0.550963	-1.05018	0.00431189	-1.30462	0.051453	-1.19086	0.351566	-1.09865	
ZIC2	0.863899	-1.03574	7.89334e-005	2.7621	0.387532	1.20192	0.841493	1.0459	0.518166	-1.15659	0.16407	-1.44258	
HS3ST2	0.605891	-1.03562	0.26053	-1.08798	0.407497	-1.05997	2.26776e-007	-1.63127	0.000119563	-1.38387	6.87811e-006	-1.58595	
HMGB2	0.828604	-1.03559	0.0240321	1.51743	0.745826	1.0556	0.0275399	1.50144	2.90348e-007	3.16408	2.13824e-006	3.2692	
TPI1	0.780625	-1.03556	0.0973846	1.26246	0.00862698	1.43466	0.0127579	-1.43446	0.950281	-1.0086	0.793811	1.04235	
SNRPD3	0.813543	-1.03555	0.00170241	1.74068	0.405495	1.13648	0.00545508	1.61886	0.100114	1.31374	0.68854	1.07806	
LOC100652770	0.663777	-1.03539	0.319791	-1.09175	0.573678	-1.04764	0.845192	-1.01724	0.844549	-1.01731	0.4375	1.08203	
STXBP2	0.586871	-1.03537	0.186019	-1.09835	0.328681	-1.06704	0.0399737	1.16048	0.00643394	1.22511	5.77942e-005	1.45409	
ERP27	0.712591	-1.03534	0.39181	-1.09296	0.706063	1.03741	5.74581e-008	2.08049	4.62636e-005	1.62685	7.38897e-011	3.18086	
LOC100505812	0.804316	-1.03527	0.0210554	1.44754	0.163547	1.22697	0.646698	-1.07286	0.0432852	-1.37789	0.863102	-1.03097	
OR52H1	0.82673	-1.03512	0.0139603	1.56368	0.227016	1.2203	9.66144e-008	3.29739	6.05482e-005	2.22127	0.00163142	1.98287	
ACSL6	0.697087	-1.03502	0.357479	-1.0938	0.286211	-1.1032	3.59006e-005	-1.59198	9.91562e-008	-1.94956	7.97001e-011	-2.94923	
CNGB3	0.643222	-1.03495	0.284343	-1.09163	0.455941	-1.05894	0.0521683	-1.17658	0.413524	-1.06896	0.756143	-1.02953	
MYOCD	0.379896	-1.03489	0.0438277	-1.09275	0.136773	-1.06264	0.00225647	-1.15112	0.0142592	-1.11591	0.866288	1.0083	
C10orf40	0.745586	-1.03479	0.455303	-1.09039	0.32933	-1.11288	0.424514	-1.09705	0.829355	1.02518	0.867565	-1.02247	
OR6K3	0.716658	-1.03476	0.402235	-1.09068	0.52002	-1.0647	0.898883	1.01318	0.986685	-1.00172	0.396623	1.10677	
LOC100505719	0.680866	-1.03474	0.000296678	1.44558	0.0683492	1.17416	0.0439891	1.2085	0.186435	1.12951	0.000312252	-1.52743	
LOC285095	0.815198	-1.03461	0.196831	1.23202	0.270933	1.18194	0.040734	-1.40221	0.240549	-1.20837	0.64848	-1.08769	
CACNA2D4	0.720304	-1.03452	0.368447	-1.09849	0.554171	-1.05974	0.89591	-1.01367	0.223744	1.13632	0.058846	1.26275	
FBXO5	0.861906	-1.03447	0.00155145	2.08896	0.332367	1.21721	0.00344865	1.95806	8.90494e-007	3.68256	3.89373e-005	3.24526	
CARHSP1	0.741049	-1.03437	0.00696163	1.37935	0.0328072	1.26387	0.677633	-1.0477	0.301315	1.12382	0.194855	1.18524	
CCDC153	0.69143	-1.03435	0.357914	-1.09001	0.49769	-1.06156	0.275677	1.10793	0.0242325	1.24492	0.0057207	1.37331	
ARL4D	0.701299	-1.03424	0.0043557	1.34146	0.643374	1.04289	0.129582	-1.16003	0.257576	-1.11619	1.75019e-005	-1.75249	
VGLL2	0.803601	-1.0341	0.104281	1.27795	0.61401	-1.07288	0.408242	-1.13065	0.797657	-1.0386	0.189395	1.25484	
CLEC17A	0.713184	-1.03403	0.38889	-1.0902	0.862026	-1.01646	0.33091	1.10255	0.597235	1.05417	0.0241404	1.31113	
CCDC108	0.72563	-1.03402	0.386455	-1.09518	0.688188	-1.04031	0.971169	-1.00378	0.35314	1.10248	0.102858	1.22259	
SLC22A20	0.686213	-1.03402	0.356414	-1.08778	0.732411	-1.02966	0.25424	1.11006	0.0525919	1.19876	0.00158546	1.4337	
DYDC2	0.643561	-1.03392	0.269342	-1.09196	0.215004	-1.09786	0.216781	-1.10366	0.555009	1.04777	0.612682	1.04726	
CCDC146	0.732311	-1.03385	1.77427e-005	1.7131	0.0433282	1.2338	3.8439e-013	3.62004	6.07244e-005	1.63594	0.803058	-1.03116	
TRAK2	0.905425	-1.03371	0.0212412	2.08946	0.496288	1.21753	0.513108	-1.22216	0.726188	1.1131	0.00301343	-3.09505	
PRUNE2	0.898281	-1.03361	0.00996352	2.16603	0.00271131	2.37658	0.0373521	-1.84405	0.209814	-1.43332	0.000925711	-3.29331	
LOC285141	0.717991	-1.0335	0.0156949	1.28864	0.0197271	1.25851	0.909104	-1.01146	0.0436772	1.23184	0.830597	1.02498	
TIGD7	0.764045	-1.03342	0.00063745	1.57342	0.436533	1.09242	0.452056	1.09481	2.15521e-005	1.81793	0.147528	1.22641	
PTGFR	0.611024	-1.0334	0.239258	-1.08772	0.259143	-1.0789	0.398358	-1.06183	0.00753563	1.22222	0.0017456	-1.32036	
PPP6R3	0.753206	-1.03336	0.0123513	1.35202	0.596653	-1.05879	0.0344852	1.28523	0.117507	1.2003	0.350898	-1.13196	
ARF6	0.804004	-1.03333	0.00234443	1.61105	0.178097	1.20502	0.974187	-1.00469	0.148399	-1.23712	0.00105981	-1.8227	
ADIG	0.638223	-1.0333	0.268388	-1.08893	0.558001	-1.0431	0.00111173	1.31318	0.000263103	1.36668	7.47654e-006	1.60203	
DPP8	0.862658	-1.03325	0.161864	1.34253	0.159286	1.32244	0.00337658	-1.92301	0.00140647	-2.0598	5.77781e-005	-3.03243	
OR6V1	0.760502	-1.0332	0.475555	-1.08768	0.471245	-1.08331	0.854175	-1.0218	0.251835	1.14558	0.0458473	1.32287	
GBA2	0.735439	-1.03314	0.419664	-1.08946	0.137884	-1.16241	0.87975	1.01611	0.134615	-1.1747	0.358254	-1.11943	
PRORSD1P	0.6832	-1.03299	0.286645	-1.0981	0.329235	-1.08401	0.0438767	1.19901	0.00359639	1.3133	0.000894442	1.44385	
GAGE10	0.798266	-1.03296	0.492787	-1.10039	0.646629	-1.062	0.28812	1.16067	0.132447	1.23748	0.208046	1.22715	
COQ10B	0.849622	-1.03289	0.0024275	1.84738	0.0267218	1.5026	0.00572313	-1.73613	0.00263011	-1.83687	0.00903038	-1.8177	
HOXC10	0.840047	-1.03276	0.00026863	2.04591	0.00141993	1.77661	0.517662	1.12024	0.0052579	1.68539	0.894835	-1.02706	
TPI1P2	0.730984	-1.03273	0.0027465	1.39348	0.00373456	1.35176	0.0366769	1.24899	0.00203207	1.40993	0.0612854	1.2564	
ANKK1	0.639839	-1.03273	0.262763	-1.0889	0.590251	-1.03904	0.474106	1.05559	0.500389	1.05222	0.0440859	1.19853	
AGRP	0.71233	-1.0327	0.340624	-1.09601	0.670732	-1.03907	0.543968	-1.05984	0.565534	1.05656	0.0309238	1.28091	
ADAMTS18	0.916181	-1.03268	0.239239	1.48957	0.860533	-1.05701	0.822266	1.0781	0.921895	1.03336	0.711779	1.15365	
SLC11A1	0.71991	-1.03263	0.39304	-1.08786	0.636069	-1.04477	0.0296962	1.24835	0.00754655	1.321	4.47564e-007	2.05252	
OR2AG1	0.606173	-1.03259	0.179542	-1.09709	0.121974	-1.10646	0.123049	1.11292	0.00120478	1.2727	2.19047e-006	1.57549	
TMCO4	0.52435	-1.03251	1.20171e-005	1.3295	0.00654349	1.16174	3.97512e-006	1.35818	3.68361e-005	1.30111	3.08919e-005	1.36051	
ACOT2	0.775824	-1.03245	0.00232733	1.4994	0.127787	1.19694	0.413262	-1.10628	0.0748254	-1.25194	0.00125861	-1.64945	
MIR30C2	0.850883	-1.0324	0.0859718	1.38685	0.967264	1.00721	0.00296877	1.81419	0.013599	1.62088	0.100082	-1.43463	
DBNL	0.685853	-1.03238	0.000108563	1.4632	0.00711942	1.2621	0.00322668	1.31474	5.29473e-005	1.49554	2.87795e-005	1.62596	
LOC91948	0.709659	-1.03231	0.368542	-1.08829	0.685002	-1.03644	0.0617453	-1.19704	0.262254	-1.1117	0.400783	1.0955	
HGD	0.894909	-1.03229	0.408262	1.24503	0.422032	1.22207	0.453989	1.21925	0.73131	1.0948	0.581171	1.18327	
HOXA7	0.894459	-1.03217	0.00422181	2.23142	0.0149939	1.87891	0.105457	1.54142	0.017575	1.91821	0.0327405	1.95439	
RUNDC3B	0.573118	-1.03203	0.166051	-1.08986	0.644552	-1.02699	5.11138e-023	-5.4267	4.12954e-025	-7.36079	5.10806e-023	-7.04998	
LEKR1	0.772208	-1.03199	0.0585012	1.26143	0.402613	1.09912	0.727024	1.04248	0.0117663	1.37267	0.169299	1.2117	
COPG1	0.720071	-1.03186	0.0347857	1.23365	0.00141668	1.36992	0.00347694	-1.35155	0.00954571	-1.30077	0.691933	-1.04485	
SLC24A2	0.921476	-1.03185	0.0149693	2.43969	0.884982	-1.04867	1.54029e-009	-19.1769	1.40196e-008	-14.2576	4.34602e-010	-37.1036	
THBS1	0.9106	-1.03174	7.7687e-007	6.53595	0.0895909	1.64876	0.11692	1.62913	0.0697916	1.76559	9.45367e-006	6.40391	
RPS6KA2-IT1	0.810006	-1.03164	0.0372144	1.35893	0.030581	1.35122	0.356872	1.14069	0.401738	1.1271	0.225217	1.22279	
RIMBP3C	0.743728	-1.03162	0.385445	-1.09529	0.983064	1.00209	0.336101	-1.1063	0.380931	1.09625	0.569731	-1.07099	
MIR152	0.829462	-1.03144	0.545538	-1.10014	0.744009	-1.0497	0.41558	-1.13753	0.854002	1.0294	0.2246	-1.25043	
PAX8	0.813319	-1.03136	0.540872	-1.09181	0.666914	-1.05992	0.442032	-1.11698	0.396871	1.12981	0.35496	1.16655	
HOXA9	0.869605	-1.03135	0.0289019	1.59787	0.0129704	1.66305	0.787977	-1.05698	0.47259	1.16016	0.648958	1.11453	
CCDC166	0.84227	-1.0313	0.585534	-1.09716	0.791761	-1.04315	0.279152	-1.20368	0.737593	1.05853	0.521743	1.13417	
MARCH4	0.715484	-1.03121	0.0269716	1.2371	0.654524	1.03975	0.000349579	-1.44608	0.00651415	-1.30672	0.943654	-1.00756	
SGK223	0.865463	-1.03118	2.75678e-005	2.64427	0.596013	1.10455	0.726567	1.07195	0.923625	-1.01921	0.78888	1.06333	
RGS21	0.728594	-1.03111	0.377828	-1.08954	0.544696	-1.0569	0.000742492	-1.43313	0.043658	-1.22358	0.119678	-1.19386	
EDN2	0.703521	-1.03102	0.323985	-1.09128	0.865968	-1.01408	0.666056	1.0387	0.0746819	1.17451	0.00457935	1.36102	
HOXC4	0.856163	-1.03083	0.0023559	1.83023	0.00725078	1.6391	0.811548	1.04473	0.0537648	1.44082	0.0909455	1.44322	
AMBP	0.793054	-1.0308	0.477518	-1.0945	0.620342	-1.06103	0.895763	1.01673	0.472866	1.09556	0.0753421	1.30611	
TBATA	0.744614	-1.03067	0.382272	-1.09334	0.451709	-1.07503	0.801429	-1.02587	0.384498	1.09288	0.222418	1.1558	
NUCB2	0.865064	-1.03051	0.00104506	2.00818	0.114804	1.34199	0.864763	-1.03355	0.972807	-1.00662	0.0260585	-1.68087	
F2RL1	0.815427	-1.03045	0.00590974	1.51207	0.0261837	1.3603	0.944807	-1.00979	0.864908	1.02423	0.271947	-1.1976	
LOC100507299	0.814025	-1.03044	7.52535e-006	2.1115	0.00205326	1.55335	2.53834e-007	2.49792	2.62146e-008	2.80586	0.00010794	2.03804	
ATOX1	0.804985	-1.03043	0.0389627	1.32923	0.828334	-1.02756	0.655483	-1.0612	0.865557	1.02276	0.387711	-1.14272	
GBP5	0.881644	-1.0304	0.00663583	1.89129	0.837972	1.0434	3.92018e-006	3.42241	0.0648417	1.52007	0.0212976	-1.84597	
TMF1	0.666012	-1.03031	7.83995e-006	1.49801	4.10582e-005	1.40428	0.11518	-1.12946	0.00727563	1.24122	0.00635354	1.2895	
RECQL5	0.57496	-1.03025	0.128558	-1.09417	0.405843	1.04683	0.21432	1.07578	0.00529243	1.18905	0.00112863	1.2705	
CDC20B	0.696705	-1.03024	0.260043	-1.09989	0.47605	-1.05806	0.851982	-1.01573	0.207549	1.11274	0.189442	1.13721	
ACOT1	0.718233	-1.03022	0.00230214	1.34752	0.183234	1.12186	0.169986	-1.13415	0.0780213	-1.17746	0.00023493	-1.53988	
CHSY3	0.789754	-1.03018	4.85545e-012	3.78272	0.34545	-1.11561	4.48829e-007	-2.17211	0.00280218	-1.48315	1.27199e-009	-3.33915	
MED14-AS1	0.811323	-1.03018	0.0138273	1.4242	0.605471	1.06882	0.747447	-1.04493	0.815833	-1.03228	0.85255	1.02971	
LOC284998	0.80026	-1.03017	0.00180521	1.54771	0.000286647	1.63815	4.15233e-005	1.8435	1.59356e-006	2.1367	1.28195e-006	2.43071	
N4BP1	0.880759	-1.03007	0.242566	1.29137	0.664105	1.09275	0.804762	1.05495	0.00256379	-2.02535	0.0110916	-1.95523	
MCOLN3	0.836328	-1.03001	0.0319759	1.41849	0.577093	1.08611	0.509775	-1.10925	0.82518	-1.03524	0.149031	1.30443	
SDR16C5	0.722647	-1.02998	0.35015	-1.08949	0.562293	-1.05115	3.3583e-008	-1.94407	7.02054e-007	-1.75782	5.46243e-006	-1.77706	
PSG2	0.666879	-1.02985	0.265331	-1.08777	0.417526	-1.05913	0.877248	-1.01161	0.163011	1.11183	0.0968717	1.15799	
C1orf86	0.740197	-1.02981	0.368001	-1.09185	0.503464	-1.06331	0.997973	-1.00025	0.105602	1.17401	0.00838775	1.36791	
PGM5-AS1	0.857302	-1.0298	0.0722307	1.39164	0.82767	1.0374	0.252513	1.2299	0.0239591	1.52473	0.000598364	2.19364	
TRIM48	0.940623	-1.02968	0.00499912	3.64201	0.885118	1.06036	0.714696	-1.1705	0.95798	1.02292	0.758173	1.16539	
PLEKHJ1	0.750331	-1.02962	0.355049	-1.09805	0.0626137	-1.19907	0.422266	-1.08439	0.558451	1.06069	0.32662	-1.12149	
LOC80054	0.8176	-1.0294	0.493489	-1.0992	0.835952	1.02723	0.022898	-1.38709	0.343952	-1.14019	0.215912	-1.22037	
CXCL10	0.973947	-1.02932	0.0043682	19.3746	0.747029	1.34321	0.0198079	10.6581	0.230192	3.24604	0.240763	3.77546	
ZNF334	0.868659	-1.02926	0.023663	1.57082	0.853764	-1.03376	1.37609e-005	2.67123	1.77047e-005	2.62646	0.000878643	2.24359	
LOC150381	0.688369	-1.02924	0.00907183	1.24298	0.139395	1.11807	0.21743	1.1032	0.0105442	1.23699	0.0315411	1.22514	
GSTA1	0.757391	-1.02923	0.355123	-1.09975	0.754719	-1.03055	0.463004	-1.07817	0.826885	1.02259	0.890567	1.01635	
LOC285740	0.643728	-1.02915	0.173059	-1.09859	0.713524	-1.02382	0.209854	-1.09017	0.951123	1.00417	0.209076	-1.10502	
ABCC10	0.584387	-1.02909	0.135935	-1.09093	0.979685	-1.00138	2.63112e-005	1.32519	0.000190528	1.27314	1.41865e-007	1.56482	
LINC00445	0.778149	-1.02904	0.418359	-1.09475	0.364592	-1.10049	0.685572	1.04613	0.62261	1.05639	0.0638411	1.27779	
C5orf56	0.571395	-1.02904	5.61806e-006	1.35201	0.0209657	1.13416	7.53324e-009	1.54417	1.0108e-006	1.39807	0.00945171	1.19181	
CEBPB	0.837842	-1.02904	0.5623	-1.09309	0.498947	-1.10299	0.102482	-1.29159	0.436072	-1.1274	0.378008	-1.16994	
CARD8	0.802916	-1.02897	0.078128	1.25438	0.412985	1.10214	7.39825e-007	2.16795	0.000253191	1.67452	0.00290105	1.5924	
PTTG3P	0.816604	-1.02882	0.0318252	1.34923	0.0177669	1.36972	0.591311	1.07487	0.472675	1.10159	0.0994801	1.2984	
MVP	0.865949	-1.02876	0.0286055	1.52113	0.720281	1.06413	0.958721	-1.00957	0.450461	1.14966	0.233177	-1.29211	
DNAH2	0.751723	-1.02861	0.345311	-1.09724	0.572954	-1.05338	0.460451	1.07505	0.612215	1.05083	0.0688728	1.23477	
LRG1	0.836315	-1.02859	0.558956	-1.09151	0.859075	-1.02533	0.55222	-1.09316	0.919032	1.0153	0.0878999	1.35228	
BTN2A3P	0.764714	-1.02841	0.0045819	1.36531	0.138836	1.15683	6.19789e-006	1.74323	1.37294e-007	2.00365	5.67662e-005	1.73259	
NAALADL2-AS2	0.646795	-1.02823	0.169111	-1.09727	0.701352	-1.02434	0.0511761	-1.14318	0.786643	-1.01815	1.58911e-007	-1.67559	
EGFLAM-AS4	0.763506	-1.02815	0.367632	-1.09595	0.720434	-1.03471	0.492047	1.07216	0.049166	1.22798	0.0191746	1.33153	
TIGIT	0.652467	-1.02814	0.170249	-1.09845	0.557412	-1.03809	0.00146948	1.26366	0.000106368	1.34724	4.47979e-006	1.53862	
CLIC6	0.901794	-1.02814	0.403031	1.23026	0.0041878	2.04209	0.816214	1.05896	0.0871563	1.54041	0.000798461	2.86366	
FAM197Y5	0.691573	-1.028	0.22467	-1.09816	0.419267	-1.06005	0.292177	1.08435	0.194033	1.10554	0.000995424	1.37452	
GGTA1P	0.796106	-1.02753	0.417697	-1.0983	0.708555	-1.04143	0.0728036	1.23635	0.520714	1.07697	0.358715	1.13067	
AKR1C3	0.874599	-1.0275	0.17577	1.2955	0.0564264	1.4181	0.157826	-1.31057	0.00881218	-1.68732	0.000192729	-2.49851	
PYCRL	0.663761	-1.02744	0.171209	-1.0993	0.412188	-1.05438	0.559054	1.04071	0.0321015	1.16392	0.00876127	1.24443	
RAPH1	0.877924	-1.02744	0.192759	1.29051	0.71604	-1.06851	0.267775	-1.24127	0.15316	-1.32383	0.0247517	-1.68622	
LOC730101	0.833783	-1.02735	4.74368e-005	1.94066	0.176094	1.20012	0.131619	1.24167	0.000438977	1.73585	0.441158	1.13414	
CCL5	0.798177	-1.02731	0.0476329	1.26657	0.506999	-1.07514	0.0316432	1.29426	0.0488088	1.2649	0.00042891	1.68693	
NFAT5	0.915413	-1.0273	0.1157	1.5623	0.24973	1.35632	0.941855	1.02046	0.0263188	-1.90326	0.00863199	-2.44422	
RNF115	0.787658	-1.02714	0.38201	-1.1005	0.890286	-1.01426	0.978662	-1.00292	0.0695816	-1.22523	0.000786336	-1.59287	
LOC100129407	0.780689	-1.02712	0.426717	-1.08771	0.799918	1.02547	0.894594	1.01404	0.0920319	1.19913	0.000793966	1.56767	
ZNF676	0.704887	-1.02692	0.00610837	1.25174	0.291675	1.08006	2.08755e-008	-1.77517	2.55253e-007	-1.65412	8.56781e-006	-1.60087	
CELSR1	0.83552	-1.02691	0.00164829	1.61661	0.0011558	1.60052	0.181903	1.209	0.1704	1.21541	0.449509	1.13075	
KCNV1	0.858517	-1.02691	0.590311	-1.09205	0.68628	-1.06419	4.48807e-011	-5.04999	6.19008e-010	-4.23096	2.20444e-008	-4.07538	
ARSF	0.724552	-1.02688	0.0108168	1.24855	0.746502	1.02544	4.61925e-011	2.26257	0.772834	-1.02408	2.04113e-006	-1.7386	
NRG1-IT3	0.864826	-1.02686	0.0283078	1.47647	0.160583	1.25781	0.147556	-1.2858	0.860531	-1.03042	0.683538	-1.08369	
LOC100507144	0.839026	-1.02671	0.0287696	1.38226	0.205403	1.18766	0.000186427	1.82257	5.20711e-007	2.44841	0.248197	1.21123	
EPHX4	0.916056	-1.02666	0.725588	-1.10085	0.253734	1.34652	1.08434e-008	-8.26775	4.57054e-009	-9.04887	1.29985e-006	-6.59759	
OR52K2	0.862356	-1.0266	0.18944	1.24708	0.550552	-1.09813	0.00927347	1.57984	0.107602	1.31359	0.00543006	1.76667	
NDUFA9	0.904105	-1.02658	0.0221032	1.76997	0.0785372	1.50111	0.164163	-1.40122	0.05574	-1.60128	0.0286237	-1.87395	
FZD8	0.838217	-1.02657	0.0120219	1.45188	0.0728305	1.27692	0.821423	-1.03226	0.17694	-1.21269	0.588354	-1.0921	
BCL2L1	0.743945	-1.02657	2.9834e-005	1.53424	0.0408077	1.19198	0.502401	1.06094	0.268057	-1.10333	0.000565308	-1.47408	
SLC34A1	0.700987	-1.02655	0.226517	-1.09575	0.388959	-1.06294	0.202934	1.10119	0.0140862	1.21297	5.5337e-005	1.49378	
FAM217A	0.786764	-1.02649	0.374457	-1.09922	0.65721	-1.04534	0.393846	-1.09502	0.572652	1.06168	0.467955	1.09316	
PKD1L1	0.597491	-1.02644	0.107635	-1.0929	0.305226	-1.05409	0.0647384	1.10817	0.355677	1.05153	0.232963	1.0782	
TOMM22P5	0.769917	-1.02626	0.0122079	1.29256	0.982242	-1.00204	0.358738	-1.09382	0.296696	-1.10758	0.000990061	-1.50001	
BHMT2	0.551803	-1.02623	0.0509095	-1.1006	0.696506	-1.01765	1.36868e-005	-1.27705	0.00227056	-1.17032	1.6451e-012	1.86875	
LARP7	0.860167	-1.02621	0.000138875	2.00602	0.412877	1.13299	0.00557713	1.6101	0.0100196	1.55032	0.226243	-1.25549	
